,0
0,"public class HelloWorld { public static void main(String[] args) { System.out.println('Hello, World'); } }"
1,fetch('https://api.example.com/data') .then(response => response.json()) .then(data => console.log(data));
2,NULL
3,class Dog { public: void bark() { cout << 'Woof!'; } };
4,NULL
5,"package main
import 'fmt'
func main() {
fmt.Println('Hello, world')
}"
6,NULL
7,"version: '3' 
services: 
  web: 
    build: . 
    ports: 
      - '5000:5000'"
8,NULL
9,<!DOCTYPE html> <html> <head> <title>Page Title</title> </head> <body> <h1>This is a Heading</h1> <p>This is a paragraph.</p> </body> </html>
10,NULL
11,"print('Hello, World!')"
12,NULL
13,"public class HelloWorld { 
public static void main(String[] args) { 
System.out.println('Hello, World!'); 
} 
}"
14,"function add(a, b) { return a + b; }"
15,NULL
16,"#include <iostream> using namespace std; int main() { cout << 'Hello, World!'; return 0; }"
17,NULL
18,"puts 'Hello, World!'"
19,NULL
